################ NH3 FUV Absorption Cross Section  ####################
Source Liang et al. (2007), interpolated to 0.01 nm
 
 COLUMN 1:      vacuum wavelength (nm) 
 COLUMN 2:      cross section (cm^2/molecule)   @300
 
DATE OF FILE CREATION: 11.09.2018 - Henrik Melin
 
NUMBER OF LINES: 8601
      147.490  7.38089e-19
      147.500  6.64110e-19
      147.510  5.99724e-19
      147.520  5.35240e-19
      147.530  5.13965e-19
      147.540  4.92690e-19
      147.550  6.32071e-19
      147.560  7.71240e-19
      147.570  6.85244e-19
      147.580  5.99380e-19
      147.590  4.71133e-19
      147.600  3.42690e-19
      147.610  3.83330e-19
      147.620  4.23970e-19
      147.630  3.43889e-19
      147.640  2.63930e-19
      147.650  3.33627e-19
      147.660  4.03430e-19
      147.670  4.27665e-19
      147.680  4.51900e-19
      147.690  4.07531e-19
      147.700  3.63230e-19
      147.710  3.30105e-19
      147.720  2.97030e-19
      147.730  2.84555e-19
      147.740  2.72060e-19
      147.750  3.28065e-19
      147.760  3.84070e-19
      147.770  3.69579e-19
      147.780  3.55110e-19
      147.790  3.28086e-19
      147.800  3.01020e-19
      147.810  2.89649e-19
      147.820  2.78260e-19
      147.830  2.56760e-19
      147.840  2.35260e-19
      147.850  2.89166e-19
      147.860  3.42990e-19
      147.870  3.11834e-19
      147.880  2.80630e-19
      147.890  2.56395e-19
      147.900  2.32160e-19
      147.910  2.82809e-19
      147.920  3.33380e-19
      147.930  4.43981e-19
      147.940  5.54750e-19
      147.950  8.17814e-19
      147.960  1.08128e-18
      147.970  1.39035e-18
      147.980  1.69942e-18
      147.990  1.22019e-18
      148.000  7.41690e-19
      148.010  7.56679e-19
      148.020  7.71690e-19
      148.030  7.97180e-19
      148.040  8.22670e-19
      148.050  9.06964e-19
      148.060  9.91130e-19
      148.070  1.01509e-18
      148.080  1.03901e-18
      148.090  9.57722e-19
      148.100  8.76310e-19
      148.110  9.85000e-19
      148.120  1.09369e-18
      148.130  1.02404e-18
      148.140  9.54490e-19
      148.150  7.60458e-19
      148.160  5.66130e-19
