# Data taken from Menang et al. (2013), which has been normalised to Thuillier. Smoothed to 0.0003 microns. Triangular.
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
       1.4525326   9.3010550e+25
       1.4525358   9.2984890e+25
       1.4525390   9.2958447e+25
       1.4525422   9.2931754e+25
       1.4525453   9.2905376e+25
       1.4525485   9.2878240e+25
       1.4525517   9.2851345e+25
       1.4525549   9.2823573e+25
       1.4525581   9.2795534e+25
       1.4525612   9.2767791e+25
       1.4525644   9.2739207e+25
       1.4525676   9.2710209e+25
       1.4525708   9.2681534e+25
       1.4525740   9.2651973e+25
       1.4525771   9.2622024e+25
       1.4525803   9.2592417e+25
       1.4525835   9.2561953e+25
       1.4525867   9.2531312e+25
       1.4525899   9.2501115e+25
       1.4525930   9.2470134e+25
       1.4525962   9.2439051e+25
       1.4525994   9.2407904e+25
       1.4526026   9.2377190e+25
       1.4526057   9.2345775e+25
       1.4526089   9.2314323e+25
       1.4526121   9.2282549e+25
       1.4526153   9.2251245e+25
       1.4526185   9.2219009e+25
       1.4526216   9.2186506e+25
       1.4526248   9.2153523e+25
       1.4526280   9.2120208e+25
       1.4526312   9.2086847e+25
       1.4526344   9.2052278e+25
       1.4526375   9.2017100e+25
       1.4526407   9.1981194e+25
       1.4526439   9.1944494e+25
       1.4526471   9.1907047e+25
       1.4526503   9.1869231e+25
       1.4526534   9.1830124e+25
